name,artist,thumbnailURL,album,link,length,views,date,albumYear,albumThumbnail
僕と花 - Boku To Hana,sakanaction,https://img.youtube.com/vi/o5-52fBJyog/maxresdefault.jpg,sakanaction,https://music.youtube.com/watch?v=o5-52fBJyog,3:50,2512310,2018-07-09,2013,https://lh3.googleusercontent.com/vMjo6Hfk7pZPrHh7KB_lo-nkP5wG-eKr6Q_wDgeAiMBudOarYYSOHISXE1zTH94Z47dSibClOxyX1YvxJA=w544-h544-s-l90-rj
不可幸力 - Fukakouryoku,Vaundy,https://img.youtube.com/vi/bGQQfNgtlz8/maxresdefault.jpg,Fukakouryoku,https://music.youtube.com/watch?v=bGQQfNgtlz8,3:20,16153922,2020-05-25,2020,https://lh3.googleusercontent.com/jafyPcoV7oJRUwsFXa1Aw8QEDNLSUpFPjrUXrf8je-Y7Is8v1mTlVv_VNBuYLhGdpn9rW462mN-iraIS=w544-h544-l90-rj
Lemon,Kenshi Yonezu,https://img.youtube.com/vi/3NNhrqHZqlI/maxresdefault.jpg,Lemon,https://music.youtube.com/watch?v=3NNhrqHZqlI,4:17,81112505,2021-08-10,2018,https://lh3.googleusercontent.com/Yiqnzq5SfMrNjf9XTAMCPadMclhC8ltAVaePndf64gdwvjaN6eEDFBw2aKRukpqxlb7rdkb27BdUFLIDfA=w544-h544-l90-rj
LADY,Kenshi Yonezu,https://img.youtube.com/vi/zOkIe3RcTCs/maxresdefault.jpg,LADY,https://music.youtube.com/watch?v=zOkIe3RcTCs,3:28,37804865,2023-03-20,2023,https://lh3.googleusercontent.com/7e0qJAww69B2DFDDUgFqp59lWMXzuHGS-GG_BFR1sD8rcO80G71aP86hV9NGCqsjx4dMEzO1yxZojAA=w544-h544-l90-rj
かなしいうれしい - Kanashii Ureshii,frederic,https://img.youtube.com/vi/VUwu-0SZi_Y/maxresdefault.jpg,TOGENKYO,https://music.youtube.com/watch?v=VUwu-0SZi_Y,4:46,3528184,2018-10-24,2017,https://lh3.googleusercontent.com/1scBYEmHLrfvwCko-UwgeGZ9rKLxyABQT4ILTkh12NsLt7D7M-RkNjmZCltRRBRbcx5Llm2QHiZhXDef_w=w544-h544-s-l90-rj
ただ君に晴れ,ヨルシカ,https://img.youtube.com/vi/ZdzoLCLliW0/maxresdefault.jpg,負け犬にアンコールはいらない,https://music.youtube.com/watch?v=ZdzoLCLliW0,3:19,79156465,2018-10-15,2018,https://lh3.googleusercontent.com/OwqXyH7b7Qv5cUD6Sa73TceATsbxhFaJoqqZZBXeJswKI0M0kuHQHczfFJFLX2P030OTh-tmaVXXUH0=w544-h544-s-l90-rj
Nagisa,imase,https://img.youtube.com/vi/Att3ku0grME/maxresdefault.jpg,Nagisa,https://music.youtube.com/watch?v=Att3ku0grME,3:47,9096403,2023-05-25,2023,https://lh3.googleusercontent.com/nDsOEhuvyafcs5rqZM01o5To0gYO3lF5QfVLCgDv4FYloVz0wsBSNL98dlhb0QjVYc3dw3uoX-NtGiBE=w544-h544-l90-rj
フライデー・ナイト - Friday night,natori,https://img.youtube.com/vi/_HOvT1l-5xw/maxresdefault.jpg,Theater,https://music.youtube.com/watch?v=_HOvT1l-5xw,2:57,951783,2023-12-19,2023,https://lh3.googleusercontent.com/7zjwdN5ofg-BnVJx_TpVNUAHfKKEHiu8g8fnf5Yza8jNggXbvqT3b2-om_Qn3kgdBYXrjymb22ghkO9MiA=w544-h544-l90-rj
メーベル - Mabel,natori,https://img.youtube.com/vi/gBz1gvr7xEw/maxresdefault.jpg,Mabel,https://music.youtube.com/watch?v=gBz1gvr7xEw,3:09,1570935,2025-01-14,2025,https://lh3.googleusercontent.com/MCtODIT-3I7mukYemmXkhQmkSL0KSXGa5etVYyAZTkfbBY_PNUHP7e_yAKtQnO_EOQg1IWDfp8E-eQk=w544-h544-l90-rj
糸電話 - Thread That Connects Us,natori,https://img.youtube.com/vi/u4FdzE4Hs7I/maxresdefault.jpg,Thread That Connects Us,https://music.youtube.com/watch?v=u4FdzE4Hs7I,3:44,734406,2024-09-19,2024,https://lh3.googleusercontent.com/PENGmDr0kKVhrTRg7mqO_vq181TLA9PIn1nnhemnlJo4iy7S5UsTxQRCzfI51thfQoDyj83JYy3XI8c=w544-h544-l90-rj
二度寝 - Nidone,Creepy Nuts,https://img.youtube.com/vi/aY7r1tGsGOw/maxresdefault.jpg,Nidone,https://music.youtube.com/watch?v=aY7r1tGsGOw,3:28,2861567,2024-01-26,2024,https://lh3.googleusercontent.com/mroHKuOX5nRu6aBOaulIgX3blesrQwY5EFXYTNe6kz-tzGKfZ1Kl36mB49DmVCeDFoFUqKXHTMwQ1E0M=w544-h544-l90-rj
メランコリーキッチン - Melancholy Kitchen,Kenshi Yonezu,https://img.youtube.com/vi/0GEoiLdCkUM/maxresdefault.jpg,Yankee,https://music.youtube.com/watch?v=0GEoiLdCkUM,3:39,20120107,2020-08-04,2014,https://lh3.googleusercontent.com/x35pQltTJ4MZULsMAfNdNKR5jIytavtdWSw_Jdregx3UXx9vzLcO2miKFIMC80iUcCauihe0tV_WFrLbyw=w544-h544-l90-rj
睡魔 - suima,KANKAN/Ayase,https://img.youtube.com/vi/zhiSH9H0Eag/maxresdefault.jpg,suima,https://music.youtube.com/watch?v=zhiSH9H0Eag,3:11,7172279,2021-05-06,2021,https://lh3.googleusercontent.com/NsGb-M6FKStFANczGjjsFlFR37HykWwc1ilioP5nslAFBDuqX32hBqNjrzJgZTEcHRfZ-nlIU6garBQ=w544-h544-l90-rj
シュガーソングとビターステップ - Sugar Song To Bitter Step,UNISON SQUARE GARDEN,https://img.youtube.com/vi/mFNFmnYio90/maxresdefault.jpg,Dr.Izzy,https://music.youtube.com/watch?v=mFNFmnYio90,4:14,44615900,2020-06-23,2016,https://lh3.googleusercontent.com/W2gFX22YwCgniCd4x0O8JikUIw0b2Z1qM17Mv7-yQl9O1RtZabjYn98_fJi6pIlsYy27LgxPSetBE3oo=w544-h544-s-l90-rj
さよならはエモーション - Sayonara ha Emotion,sakanaction,https://img.youtube.com/vi/WHPK9hSI1B4/maxresdefault.jpg,834.194,https://music.youtube.com/watch?v=WHPK9hSI1B4,4:19,2045170,2019-06-18,2019,https://lh3.googleusercontent.com/nOt7bbpmEgdxmQIB0tLYV_xeLD0-EkYqltaKOEEF8sqMF-57OwSqXPXdWg5l2NKcF9jswOO31luC1U140w=w544-h544-l90-rj
Demon dance tokyo,Eve,https://img.youtube.com/vi/DlmxTiCLmug/maxresdefault.jpg,OFFICIAL NUMBER,https://music.youtube.com/watch?v=DlmxTiCLmug,4:01,1155089,2021-01-28,2016,https://lh3.googleusercontent.com/zs1PtWk7XKkcW0d6H2ef30K4h343wZn9Q9qgCmRtBNjgpddh6HA9dVsWb13hYQL1n6NWgKk_-Q59sk0X=w544-h544-l90-rj
Hello Song,Gen Hoshino,https://img.youtube.com/vi/bUnfuRew3PU/maxresdefault.jpg,POP VIRUS,https://music.youtube.com/watch?v=bUnfuRew3PU,4:15,1866638,2019-08-29,2018,https://lh3.googleusercontent.com/AUbQLDdIcJulGaHcpEpCucXfleMiRMpJofdQGhtk5PBrjJUrLQuWFOyee-L_WgrFcTk7JSot45_YuEC7CQ=w544-h544-l90-rj
